"lang"
{
"Language"	"tchinese"
"Tokens"
{
"SFUI_On"	"開啟"
"[english]SFUI_On"	"On"
"SFUI_Off"	"關閉"
"[english]SFUI_Off"	"Off"
"SFUI_FriendlyFireColon"	"友方傷害："
"[english]SFUI_FriendlyFireColon"	"Friendly Fire:"
"SFUI_ScenarioColon"	"場景："
"[english]SFUI_ScenarioColon"	"Scenario:"
"SFUI_CashColon"	"起始金額："
"[english]SFUI_CashColon"	"Starting Cash:"
"SFUI_GameTimeColon"	"遊戲時間："
"[english]SFUI_GameTimeColon"	"Game Time:"
"SFUI_TimePerRoundColon"	"回合時間："
"[english]SFUI_TimePerRoundColon"	"Time Per Round:"
"SFUI_BuyTimeColon"	"購買時間："
"[english]SFUI_BuyTimeColon"	"Buy Time:"
"SFUI_WinMatchColon"	"遊戲回合："
"[english]SFUI_WinMatchColon"	"Match Length:"
"SFUI_SpectateColon"	"觀戰："
"[english]SFUI_SpectateColon"	"Spectate:"
"SFUI_BotsColon"	"電腦玩家："
"[english]SFUI_BotsColon"	"Bots:"
"SFUI_AutoBuyColon"	"自動購買基本裝備："
"[english]SFUI_AutoBuyColon"	"Auto Buy Basic Equipment:"
"SFUI_Minutes"	"分鐘"
"[english]SFUI_Minutes"	"minutes"
"SFUI_Seconds"	"秒"
"[english]SFUI_Seconds"	"seconds"
"SFUI_Rounds"	"回合"
"[english]SFUI_Rounds"	"rounds"
"SFUI_Legend_Cancel"	"${cancel} 取消"
"[english]SFUI_Legend_Cancel"	"${cancel} Cancel"
"SFUI_Legend_Ok"	"${confirm} 確定"
"[english]SFUI_Legend_Ok"	"${confirm} OK"
"SFUI_Legend_OkCancel"	"${confirm} 確定 ${cancel} 取消"
"[english]SFUI_Legend_OkCancel"	"${confirm} OK     ${cancel} Cancel"
"SFUI_Play"	"進行遊戲"
"[english]SFUI_Play"	"PLAY"
"SFUI_Back"	"返回"
"[english]SFUI_Back"	"BACK"
"SFUI_GameTypeClassic"	"經典"
"[english]SFUI_GameTypeClassic"	"CLASSIC"
"SFUI_GameTypeGungame"	"軍械庫"
"[english]SFUI_GameTypeGungame"	"ARSENAL"
"SFUI_GameTypeFreestyle"	"練習"
"[english]SFUI_GameTypeFreestyle"	"PRACTICE"
"SFUI_GameTypeTraining"	"武器課程"
"[english]SFUI_GameTypeTraining"	"WEAPONS COURSE"
"SFUI_GameMode"	"模式"
"[english]SFUI_GameMode"	"MODE"
"SFUI_GameModeCasual"	"休閒"
"[english]SFUI_GameModeCasual"	"CASUAL"
"SFUI_GameModeCompetitive"	"競技"
"[english]SFUI_GameModeCompetitive"	"COMPETITIVE"
"SFUI_GameModeGGProgressive"	"軍備競賽"
"[english]SFUI_GameModeGGProgressive"	"ARMS RACE"
"SFUI_GameModeGGBomb"	"爆破"
"[english]SFUI_GameModeGGBomb"	"DEMOLITION"
"SFUI_HalftimePrompt"	"半場時間"
"[english]SFUI_HalftimePrompt"	"HALFTIME"
"SFUI_GameModeCasualDesc"	"每回合利用賺取的金錢購買新武器。\n\n殲滅敵隊或完成任務目標來贏得回合。\n\n· 關閉友方傷害\n· 關閉隊友碰撞\n· 50% 擊殺獎勵數\n· 10 回合內贏得最多的隊伍獲勝"
"[english]SFUI_GameModeCasualDesc"	"Buy new weapons each round with money earned.\n\nWin the round by eliminating the other team or completing the objective.\n\n· Friendly fire is off\n· Team collision is off\n· 50% kill reward amounts\n· Best out of 10 rounds"
"SFUI_GameModeCompetitiveDesc"	"每回合利用賺取的金錢購買新武器。\n\n殲滅敵隊或是完成任務目標來贏得回合。\n\n· 開啟友方傷害\n· 開啟隊友碰撞\n· 護甲與拆彈包必須購買才能取得\n· 30 回合內贏得最多的隊伍獲勝"
"[english]SFUI_GameModeCompetitiveDesc"	"Buy new weapons each round with money earned.\n\nWin the round by eliminating the other team or completing the objective.\n\n· Friendly fire is on\n· Team collision is on\n· Armor and defuse kits are purchasable\n· Best out of 30 rounds"
"SFUI_GameModeFreestyleDesc"	"· 單人經典地圖\n· 自訂電腦玩家難度"
"[english]SFUI_GameModeFreestyleDesc"	"· Single player classic maps\n· Customizable bot difficulty"
"SFUI_GameModeGGProgressiveDesc"	"擊殺敵人來獲得新武器。\n\n最先輪替完所有武器的玩家獲勝。\n\n· 獎勵武器會立即獲得\n· 立即重生\n· 開啟友方傷害\n· 關閉隊友碰撞"
"[english]SFUI_GameModeGGProgressiveDesc"	"New weapons are awarded by getting kills.\n\nWin the match by being the first player to get a kill with every weapon.\n\n· Weapons are awarded immediately\n· Instant Respawn\n· Friendly fire is on\n· Team collision is off"
"SFUI_GameModeGGBombDesc"	"擊殺敵人來獲得新武器。\n\n殲滅敵隊或是完成任務目標來贏得回合\n\n· 獎勵武器會在下回合獲得\n· 開啟友方傷害\n· 關閉隊友碰撞\n·  20 回合內贏得最多的隊伍獲勝"
"[english]SFUI_GameModeGGBombDesc"	"New weapons are awarded by getting kills.\n\nWin the round by eliminating the other team or completing the objective.\n\n· Weapons awarded on round start\n· Friendly fire is on\n· Team collision is off\n· Best out of 20 rounds"
"SFUI_GameModeProgressDisclaimer"	"不會記錄統計資料。"	[$WIN32||$X360]
"[english]SFUI_GameModeProgressDisclaimer"	"No stats tracking."
"SFUI_GameModeProgressDisclaimer"	"不會記錄統計資料。"	[$PS3]
"[english]SFUI_GameModeProgressDisclaimer"	"No stats tracking."
"SFUI_TrialTimeRemaining"	"測試模式(剩餘 %s1:%s2)"
"[english]SFUI_TrialTimeRemaining"	"Trial mode (%s1:%s2 remaining)"
"SFUI_TrialTimeExpired"	"測試模式結束"
"[english]SFUI_TrialTimeExpired"	"Trial mode expired"
"SFUI_TrialWelcomeTitle"	"測試模式"
"[english]SFUI_TrialWelcomeTitle"	"Trial Mode"
"SFUI_TrialWelcomeMessage"	"歡迎來到《絕對武力》遊戲測試。在測試期間所有遊戲功能均能使用。"
"[english]SFUI_TrialWelcomeMessage"	"Welcome to the Counter Strike game trial. All game features are unlocked for the duration of the trial period"
"SFUI_TrialWelcomeMessageExpired"	"《絕對武力》遊戲測試已結束"
"[english]SFUI_TrialWelcomeMessageExpired"	"The Counter Strike game trial period has expired"
"SFUI_TrialHudTextMinutes"	"測試活動（剩餘 %s1 分鐘）"
"[english]SFUI_TrialHudTextMinutes"	"Trial Active (%s1 minutes left)"
"SFUI_TrialHudTextMinute"	"測試活動（剩餘 1 分鐘）"
"[english]SFUI_TrialHudTextMinute"	"Trial Active (1 minute left)"
"SFUI_TrialSignOutTitle"	"測試模式已登入至個人檔案"
"[english]SFUI_TrialSignOutTitle"	"Trial Signed In Profile"
"SFUI_TrialSignOutMsg"	"進入測試模式需要已登入的帳號"
"[english]SFUI_TrialSignOutMsg"	"A signed in profile is required for trial mode"
"SFUI_TrialMUPullTitle"	"測試個人檔案庫"
"[english]SFUI_TrialMUPullTitle"	"Trial Profile Storage"
"SFUI_TrialMUPullMsg"	"進入測試模式需要可被覆寫的個人檔案。"
"[english]SFUI_TrialMUPullMsg"	"Trial mode requires a writable signed in profile"
"SFUI_BotDifficulty"	"電腦玩家難度"
"[english]SFUI_BotDifficulty"	"Bot Difficulty"
"SFUI_BotDifficulty0"	"無電腦玩家"
"[english]SFUI_BotDifficulty0"	"No Bots"
"SFUI_BotDifficulty1"	"猴子級電腦玩家"
"[english]SFUI_BotDifficulty1"	"Harmless Bots"
"SFUI_BotDifficulty2"	"簡單電腦玩家"
"[english]SFUI_BotDifficulty2"	"Easy Bots"
"SFUI_BotDifficulty3"	"普通電腦玩家"
"[english]SFUI_BotDifficulty3"	"Medium Bots"
"SFUI_BotDifficulty4"	"困難電腦玩家"
"[english]SFUI_BotDifficulty4"	"Hard Bots"
"SFUI_BotDifficulty5"	"專家電腦玩家"
"[english]SFUI_BotDifficulty5"	"Expert Bots"
"SFUI_SpectateAnyone"	"任何人"
"[english]SFUI_SpectateAnyone"	"Anyone"
"SFUI_SpectateTeamOnly"	"僅限隊伍"
"[english]SFUI_SpectateTeamOnly"	"Team only"
"SFUI_HostageMap"	"人質"
"[english]SFUI_HostageMap"	"Hostage"
"SFUI_BombMap"	"炸彈"
"[english]SFUI_BombMap"	"Bomb"
"SFUI_GunGameProgressiveMap"	"軍備競賽"
"[english]SFUI_GunGameProgressiveMap"	"Arms Race"
"SFUI_GunGameTRMap"	"爆破"
"[english]SFUI_GunGameTRMap"	"Demolition"
"SFUI_Map_de_dust"	"Dust"
"[english]SFUI_Map_de_dust"	"Dust"
"SFUI_Map_de_dust2"	"Dust II"
"[english]SFUI_Map_de_dust2"	"Dust II"
"SFUI_Map_de_train"	"Train"
"[english]SFUI_Map_de_train"	"Train"
"SFUI_Map_de_inferno"	"Inferno"
