"lang"
{
"Language" "brazilian"
"Tokens"
{
// ---------------------------------------------------------------------------------------------
// GAMEUI_ENGLISH.txt

		"GameUI_MainMenuMovieScene"	"Cenário de fundo do menu principal"
		"GameUI_MainMenuMovieScene_Vanity"	"Alterar cenário de fundo"
		"GameUI_MainMenuMovieScene_Tooltip"	"Esta configuração permite alterar o cenário de fundo do menu principal, possibilitando escolher a ambientação da experiência visual do jogo."
		"GameUI_InspectBackgroundMap"	"Cenário de fundo da inspeção de itens"
		"GameUI_InspectBackgroundMap_Tooltip"	"Esta configuração permite personalizar o cenário de fundo exibido ao inspecionar os itens do inventário."
		"GameUI_DisplayMode"		"Modo de cor"
		"GameUI_DisplayMonitor"		"Monitor de computador"
		"GameUI_DisplayTV"		"Televisão"
		"GameUI_Brightness"		"Brilho"
		"GameUI_CrosshairBehavior"		"Comportamento da mira"
		"GameUI_CrosshairBehaviorStatic"	"Estática"
		"GameUI_CrosshairBehaviorDynamic"	"Dinâmica"

		"GameUI_FriendlyWarning"			"Aviso de fogo amigo na mira"
		"GameUI_FriendlyWarning_Desc"		"Exibe um aviso na mira ao apontar para um aliado."

		"GameUI_CrosshairStyle"			"Estilo da mira"
		"GameUI_CrosshairStyleDefault"			"Padrão"
		"GameUI_CrosshairStyleDefaultStatic"	"Estática padrão"
		"GameUI_CrosshairStyleClassic"			"Clássica"
		"GameUI_CrosshairStyleClassicDyn"		"Dinâmica clássica"
		"GameUI_CrosshairStyleClassicStatic"	"Estática clássica"
		"GameUI_CrosshairStyleLegacy"			"CS:GO"

		"GameUI_CrosshairStyle_Friendly"		"Aviso de fogo amigo"
		"GameUI_CrosshairFriendlyWarning_Off"	"Nunca"
		"GameUI_CrosshairFriendlyWarning_Default" "Apenas na mira padrão"
		"GameUI_CrosshairFriendlyWarning_On"	"Sempre"



		"GameUI_CrosshairIFF"	"ID do alvo na mira"
		"GameUI_CrosshairIFFOn"	"Ativado"
		"GameUI_CrosshairIFFOff"	"Desativado"

		"GameUI_CrosshairCode"		"Código da mira:"
		"GameUI_CrosshairLength"	"Tamanho"
		"GameUI_CrosshairDot"		"Ponto central"
		"GameUI_CrosshairRecoil"	"Seguir coice"
		"GameUI_CrosshairRecoil_Desc"	"A mira deixará o centro da tela para seguir o padrão de coice da arma."
		"GameUI_CrosshairThickness"	"Espessura"
		"GameUI_CrosshairGap"		"Espaçamento"
		"GameUI_CrosshairOutline"	"Contorno"
		"GameUI_CrosshairAlpha"		"Alfa"
		"GameUI_CrosshairSize"		"Tamanho da mira"
		"GameUI_CrosshairColor"		"Cor da mira"
		"GameUI_ColorSliders"		"Cores"
		"GameUI_ColorQuality"		"Qualidade das cores"
		"GameUI_ColorGreen"			"Verde"
		"GameUI_ColorRed"			"Vermelho"
		"GameUI_ColorBlue"			"Azul"
		"GameUI_ColorYellow"		"Amarelo"
		"GameUI_ColorLtBlue"		"Azul-claro"
		"GameUI_SplitDist" 			"Distância de separação"
		"GameUI_SplitInnerAlpha" 	"Alfa do pedaço interior"
		"GameUI_SplitOuterAlpha" 	"Alfa do pedaço exterior"
		"GameUI_SplitRatio" 		"Tamanho do pedaço exterior"
		"GameUI_TStyle" 			"Estilo em T"
		"GameUI_ShowWeaponGap" 		"Espaçamento dinâmico"
		"GameUI_ShowWeaponGap_Tooltip" 	"O espaçamento da mira será atualizado com base na arma equipada."
		"GameUI_ShowObserverCrosshair" 	"Exibir mira de jogadores"
		"GameUI_ShowObserverCrosshair_Tooltip" "Exibir a mira dos outros jogadores no modo espectador."
		"GameUI_Everyone" 			"Todos"
		"GameUI_ShowObserverCrosshair_Friends" 			"Amigos e grupo"
		"GameUI_ObservedBotCrosshair_Tooltip" 			"Controla a mira usada ao assistir a bots."
		"GameUI_ObservedBotCrosshair" 	"Usar a minha mira ao assistir a bots"
		"GameUI_Always" 	"Sempre"
		"GameUI_ObservedBotCrosshair_Takeover" 	"Quando posso controlar o bot"
		"GameUI_ObservedBotCrosshair_Default" 	"Nunca"
		"GameUI_KeepCrosshair"	"Manter mira comum"
		"GameUI_KeepCrosshairInfo" "Manter a mira comum visível ao exibir a mira de alinhamento de granada."
		"GameUI_GrenadeCrosshairFlash"	"Granadas de luz"
		"GameUI_GrenadeCrosshairHE"	"Granadas explosivas"
		"GameUI_GrenadeCrosshairFire"	"Coquetéis Molotov e granadas incendiárias"
		"GameUI_GrenadeCrosshairSmoke"	"Granadas de fumaça"
		"GameUI_GrenadeCrosshairDecoy"	"Granadas de distração"
		"GameUI_GrenadeCrosshairInfoTooltipFlash" "Exibir a mira de alinhamento para granadas de luz? Em caso afirmativo, quanto tempo após puxar o pino ela deve ser exibida?"
		"GameUI_GrenadeCrosshairInfoTooltipHE" "Exibir a mira de alinhamento para granadas explosivas? Em caso afirmativo, quanto tempo após puxar o pino ela deve ser exibida?"
		"GameUI_GrenadeCrosshairInfoTooltipFire" "Exibir a mira de alinhamento para Molotovs e granadas incendiárias? Em caso afirmativo, quanto tempo após puxar o pino ela deve ser exibida?"
		"GameUI_GrenadeCrosshairInfoTooltipSmoke" "Exibir a mira de alinhamento para granadas de fumaça? Em caso afirmativo, quanto tempo após puxar o pino ela deve ser exibida?"
		"GameUI_GrenadeCrosshairInfoTooltipDecoy" "Exibir a mira de alinhamento para granadas de distração? Em caso afirmativo, quanto tempo após puxar o pino ela deve ser exibida?"


		"GameUI_Xhair_Reset_Tooltip" 		"Restaurar as configurações padrão de mira."
		"GameUI_Xhair_Undo_Tooltip" 		"Desfazer alterações recentes à mira."
		"GameUI_Xhair_CopyCode_Tooltip"		"Compartilhar ou importar um código de mira."
		"GameUI_Xhair_Code_Popup"			"Compartilhar ou importar"
		"GameUI_Xhair_Code_Invalid"			"Código inválido ou antigo"
		"GameUI_Xhair_Import_Code"			"Importar"
		"GameUI_Xhair_ImportCSGO_Tooltip"	"Importar a mira da última vez que você jogou CS:GO."
		"GameUI_Xhair_ImportCSGO"			"Importar do CS:GO"

		"tooltip_copycrosshair"				"Copiar mira"
		"GameUI_Xhair_Copy_Code_Confirm"		"Substituir mira atual?"

		"GameUI_Language_English"				"Inglês"
		"GameUI_Language_German"				"Alemão"
		"GameUI_Language_French"				"Francês"
		"GameUI_Language_Italian"				"Italiano"
		"GameUI_Language_Korean"				"Coreano"
		"GameUI_Language_Spanish"				"Espanhol"
		"GameUI_Language_Simplified_Chinese"	"Chinês_simplificado"
		"GameUI_Language_Traditional_Chinese"	"Chinês_tradicional"
		"GameUI_Language_Russian"				"Russo"
		"GameUI_Language_Thai"					"Tailandês"
		"GameUI_Language_Japanese"				"Japonês"
		"GameUI_Language_Portuguese"			"Português (Portugal)"
		"GameUI_Language_Polish"				"Polonês"
		"GameUI_Language_Danish"				"Dinamarquês"
		"GameUI_Language_Dutch"					"Holandês"
		"GameUI_Language_Finnish"				"Finlandês"
		"GameUI_Language_Norwegian"				"Norueguês"
		"GameUI_Language_Swedish"				"Sueco"

		"GameUI_Map"			"Mapa"
		"GameUI_Close"			"Fechar"
		"GameUI_Load"			"Carregar"
		"GameUI_Save"			"Salvar"
		"GameUI_SaveAs"			"Salvar como..."
		"GameUI_Refresh"		"Atualizar"
		"GameUI_OpenFile"		"Abrir arquivo"
		"GameUI_ClaimRewards"	"Resgatar recompensas"


		"GameUI_Category_HudOptions"		"OPÇÕES DE INTERFACE"
		"GameUI_Category_TeamOptions"		"OPÇÕES DE EQUIPE"
		"GameUI_Category_SpecAndScoreOptions"		"OPÇÕES DE ESPECTADOR E PLACAR"
		"GameUI_Category_ItemOptions"		"OPÇÕES DE ITENS"
		"GameUI_Category_RadarOptions"		"OPÇÕES DE RADAR"
		"GameUI_Category_KeyBindings"		"TECLAS"
		"GameUI_Category_ControllerBindings"		"TECLAS"
		"GameUI_Category_AdvancedVideo"	"OPÇÕES AVANÇADAS DE VÍDEO"
		"GameUI_Category_MyMusic"	"OPÇÕES DE MÚSICA"

		"GameUI_Disconnect_DifferentClassTables"	"O servidor usa tabelas de classes diferentes."
		"GameUI_Disconnect_User"					"Usuário(a) desconectou-se."
		"GameUI_Disconnect_Server"					"Desconectado(a) do servidor."
		"GameUI_Disconnect_ConnectionLost"			"Conexão perdida."
		"GameUI_Disconnect_ConnectionOverflow"		"Erro de sobrecarga."
		"GameUI_Disconnect_NoSpectators"			"A partida não permite espectadores."
		"GameUI_Disconnect_DisconnectByUser"		"Usuário(a) desconectou-se"
		"GameUI_Disconnect_DisconnectByServer"		"Desconectado(a) pelo servidor"
		"GameUI_Disconnect_HLTVDirect"				"SourceTV não pode conectar-se diretamente à partida."
		"GameUI_Disconnect_PureServer_ClientExtra"	"Servidor puro: o cliente possui arquivos adicionais carregados."
