"lang"
{
"Language" "japanese"
"Tokens"
{
// ---------------------------------------------------------------------------------------------
// GAMEUI_ENGLISH.txt

		"GameUI_MainMenuMovieScene"	"メインメニューの背景"
		"GameUI_MainMenuMovieScene_Vanity"	"背景の変更"
		"GameUI_MainMenuMovieScene_Tooltip"	"メインメニューの背景を変更し、好みに合わせてゲーム全体の雰囲気をカスタマイズします。"
		"GameUI_InspectBackgroundMap"	"アイテムの確認時の背景"
		"GameUI_InspectBackgroundMap_Tooltip"	"アイテムを確認する際の背景をカスタマイズできます。"
		"GameUI_DisplayMode"		"カラーモード"
		"GameUI_DisplayMonitor"		"コンピュータモニタ"
		"GameUI_DisplayTV"		"TV"
		"GameUI_Brightness"		"明るさ"
		"GameUI_CrosshairBehavior"		"照準の動き"
		"GameUI_CrosshairBehaviorStatic"	"静的"
		"GameUI_CrosshairBehaviorDynamic"	"動的"

		"GameUI_FriendlyWarning"			"同士撃ち照準警告"
		"GameUI_FriendlyWarning_Desc"		"味方にエイムすると照準に警告が表示されます。"

		"GameUI_CrosshairStyle"			"照準のスタイル"
		"GameUI_CrosshairStyleDefault"			"初期設定"
		"GameUI_CrosshairStyleDefaultStatic"	"初期設定 静的"
		"GameUI_CrosshairStyleClassic"			"クラシック"
		"GameUI_CrosshairStyleClassicDyn"		"クラシック 動的"
		"GameUI_CrosshairStyleClassicStatic"	"クラシック 静的"
		"GameUI_CrosshairStyleLegacy"			"レガシー"

		"GameUI_CrosshairStyle_Friendly"		"同士撃ち警告"
		"GameUI_CrosshairFriendlyWarning_Off"	"常にオフ"
		"GameUI_CrosshairFriendlyWarning_Default" "デフォルトの照準のみ"
		"GameUI_CrosshairFriendlyWarning_On"	"常にオン"



		"GameUI_CrosshairIFF"	"照準ターゲット ID"
		"GameUI_CrosshairIFFOn"	"On"
		"GameUI_CrosshairIFFOff"	"Off"

		"GameUI_CrosshairCode"		"照準コード:"
		"GameUI_CrosshairLength"	"長さ"
		"GameUI_CrosshairDot"		"センタードット"
		"GameUI_CrosshairRecoil"	"リコイルに追従"
		"GameUI_CrosshairRecoil_Desc"	"武器のリコイルパターンに応じて照準が画面中央からブレます。"
		"GameUI_CrosshairThickness"	"太さ"
		"GameUI_CrosshairGap"		"ギャップ"
		"GameUI_CrosshairOutline"	"アウトライン"
		"GameUI_CrosshairAlpha"		"Alpha"
		"GameUI_CrosshairSize"		"照準のサイズ"
		"GameUI_CrosshairColor"		"照準の色"
		"GameUI_ColorSliders"		"色"
		"GameUI_ColorQuality"		"色の品質"
		"GameUI_ColorGreen"			"緑色"
		"GameUI_ColorRed"			"赤色"
		"GameUI_ColorBlue"			"青色"
		"GameUI_ColorYellow"		"黄色"
		"GameUI_ColorLtBlue"		"薄青色"
		"GameUI_SplitDist" 			"スプリット距離"
		"GameUI_SplitInnerAlpha" 	"インナースプリット Alpha"
		"GameUI_SplitOuterAlpha" 	"アウタースプリット Alpha"
		"GameUI_SplitRatio" 		"スプリットサイズ比"
		"GameUI_TStyle" 			"T字照準"
		"GameUI_ShowWeaponGap" 		"武器ごとにギャップ変更"
		"GameUI_ShowWeaponGap_Tooltip" 	"装備中の武器に応じて照準のギャップが変化します。"
		"GameUI_ShowObserverCrosshair" 	"プレイヤーの照準を表示"
		"GameUI_ShowObserverCrosshair_Tooltip" "観戦中に他のプレイヤーの照準を表示します。"
		"GameUI_Everyone" 			"全員"
		"GameUI_ShowObserverCrosshair_Friends" 			"フレンドとパーティー"
		"GameUI_ObservedBotCrosshair_Tooltip" 			"BOT 観戦中にどの照準を表示するか設定します。"
		"GameUI_ObservedBotCrosshair" 	"BOT 観戦中に自分の照準を表示"
		"GameUI_Always" 	"常に表示"
		"GameUI_ObservedBotCrosshair_Takeover" 	"BOT を引き継げるとき"
		"GameUI_ObservedBotCrosshair_Default" 	"表示しない"
		"GameUI_KeepCrosshair"	"通常の照準を維持"
		"GameUI_KeepCrosshairInfo" "グレネードの照準線が表示されているときも通常の照準を表示します。"
		"GameUI_GrenadeCrosshairFlash"	"フラッシュグレネード"
		"GameUI_GrenadeCrosshairHE"	"HEグレネード"
		"GameUI_GrenadeCrosshairFire"	"火炎瓶/焼夷グレネード"
		"GameUI_GrenadeCrosshairSmoke"	"スモークグレネード"
		"GameUI_GrenadeCrosshairDecoy"	"デコイグレネード"
		"GameUI_GrenadeCrosshairInfoTooltipFlash" "フラッシュグレネードの照準線を表示するかどうか、表示する場合は構えてから表示されるまでにどれくらい時間を置くかを設定します。"
		"GameUI_GrenadeCrosshairInfoTooltipHE" "HEグレネードの照準線を表示するかどうか、表示する場合は構えてから表示されるまでにどれくらい時間を置くかを設定します。"
		"GameUI_GrenadeCrosshairInfoTooltipFire" "火炎瓶/焼夷グレネードの照準線を表示するかどうか、表示する場合は構えてから表示されるまでにどれくらい時間を置くかを設定します。"
		"GameUI_GrenadeCrosshairInfoTooltipSmoke" "スモークグレネードの照準線を表示するかどうか、表示する場合は構えてから表示されるまでにどれくらい時間を置くかを設定します。"
		"GameUI_GrenadeCrosshairInfoTooltipDecoy" "デコイグレネードの照準線を表示するかどうか、表示する場合は構えてから表示されるまでにどれくらい時間を置くかを設定します。"


		"GameUI_Xhair_Reset_Tooltip" 		"照準の設定値をデフォルトに戻します。"
		"GameUI_Xhair_Undo_Tooltip" 		"最近適用した照準の変更を取り消します。"
		"GameUI_Xhair_CopyCode_Tooltip"		"照準コードをシェアまたはインポートします。"
		"GameUI_Xhair_Code_Popup"			"シェア/インポート"
		"GameUI_Xhair_Code_Invalid"			"無効または古い照準コード"
		"GameUI_Xhair_Import_Code"			"インポート"
		"GameUI_Xhair_ImportCSGO_Tooltip"	"前回 CS:GO をプレイしたときの照準設定をインポートします。"
		"GameUI_Xhair_ImportCSGO"			"CS:GO からインポート"

		"tooltip_copycrosshair"				"照準をコピー"
		"GameUI_Xhair_Copy_Code_Confirm"		"現在の照準設定と入れ替えますか?"

		"GameUI_Language_English"				"英語"
		"GameUI_Language_German"				"ドイツ語"
		"GameUI_Language_French"				"フランス語"
		"GameUI_Language_Italian"				"イタリア語"
		"GameUI_Language_Korean"				"韓国語"
		"GameUI_Language_Spanish"				"スペイン語"
		"GameUI_Language_Simplified_Chinese"	"簡体中国語"
		"GameUI_Language_Traditional_Chinese"	"繁体中国語"
		"GameUI_Language_Russian"				"ロシア語"
		"GameUI_Language_Thai"					"タイ語"
		"GameUI_Language_Japanese"				"日本語"
		"GameUI_Language_Portuguese"			"ポルトガル語"
		"GameUI_Language_Polish"				"ポーランド語"
		"GameUI_Language_Danish"				"デンマーク語"
		"GameUI_Language_Dutch"					"オランダ語"
		"GameUI_Language_Finnish"				"フィンランド語"
		"GameUI_Language_Norwegian"				"ノルウェー語"
		"GameUI_Language_Swedish"				"スウェーデン語"

		"GameUI_Map"			"マップ"
		"GameUI_Close"			"閉じる"
		"GameUI_Load"			"ロード"
		"GameUI_Save"			"セーブ"
		"GameUI_SaveAs"			"名前を付けて保存..."
		"GameUI_Refresh"		"更新"
		"GameUI_OpenFile"		"ファイルを開く"
		"GameUI_ClaimRewards"	"報酬を受け取る"


		"GameUI_Category_HudOptions"		"HUD 設定"
		"GameUI_Category_TeamOptions"		"チーム設定"
		"GameUI_Category_SpecAndScoreOptions"		"観戦とスコアボード設定"
		"GameUI_Category_ItemOptions"		"アイテム設定"
		"GameUI_Category_RadarOptions"		"レーダー設定"
		"GameUI_Category_KeyBindings"		"キー割り当て"
		"GameUI_Category_ControllerBindings"		"ボタン割り当て"
		"GameUI_Category_AdvancedVideo"	"高度なビデオ設定"
		"GameUI_Category_MyMusic"	"ミュージックオプション"

		"GameUI_Disconnect_DifferentClassTables"	"サーバーは異なるクラステーブルを使用しています。"
		"GameUI_Disconnect_User"					"ユーザーによって切断されました。"
		"GameUI_Disconnect_Server"					"サーバーから切断されました。"
		"GameUI_Disconnect_ConnectionLost"			"接続が途切れました。"
		"GameUI_Disconnect_ConnectionOverflow"		"オーバーフローエラー"
		"GameUI_Disconnect_NoSpectators"			"観戦不可能なマッチです。"
		"GameUI_Disconnect_DisconnectByUser"		"ユーザーによる切断"
		"GameUI_Disconnect_DisconnectByServer"		"サーバーによる切断"
		"GameUI_Disconnect_HLTVDirect"				"SourceTV からは直接ゲームに接続できません。"
		"GameUI_Disconnect_PureServer_ClientExtra"	"ピュアサーバー: クライアントが余分なファイルを読み込みました"
		"GameUI_Disconnect_PureServer_Mismatch"		"ピュアサーバー: クライアント側のファイルがサーバーのものと一致していません。\n\nhttps://support.steampowered.com/kb_article.php?ref=8285-YOAZ-6049"
		"GameUI_Disconnect_UserCmd"					"ユーザーコマンドの解析中にエラーが発生しました。"
